ContractReference	EYAtBSD	AmortizedAPAtBSD	UnamortizedAPAtBSD	AdditionalPaymentID	AsOfAmortizationAdjustment	AsOfAmortizationAdjustmentDate	IASError	ImpairmentEffectiveDate	ImpairmentBucket	ImpairmentApproach	12mEL	LifetimeEL	LossAllowance
U+CI1PWF_BINTG_00001_I65346		-8207.934336525308000	-1792.065663474692000	U+CI2ZP6			<20150401>:PureEY@OD: Unable to compute IRR	<EMPTY>					
F#CJ5XNX_BINTG_00001_I65346	6.728599064450064	9070.620657145305800	929.379342854694190	F#CJ5Y84				<EMPTY>					
F#CJ5XNX_BINTG_00001_I65346	6.215155159124807	-9077.162145592943500	-922.837854407056510	F#CJ5YBD				<EMPTY>					
F#CJ5YCJ_BINTG_00001_I65346	11.076852047678805	9147.448993111238500	852.551006888761550	F#CJ5YVW				<EMPTY>					
U+CI1PXI_BINTG_00001_I65346		8207.934336525271600	1792.065663474728400	FCCIRAXA			<20150401>:PureEY@OD: Unable to compute IRR	<EMPTY>					
U+CI1PYL_BINTG_00001_I65346		-8210.382513661177700	-1789.617486338822300	FCCIRBTR			<20150401>:PureEY@OD: Unable to compute IRR	<EMPTY>					
U+CI1PYL_BINTG_00001_I65346		8210.382513661221300	1789.617486338778700	FCCIRBXU			<20150401>:PureEY@OD: Unable to compute IRR	<EMPTY>					
U+CI1PZO_BINTG_00001_I65346		18809.090909090894000	1190.909090909106500	FCCIRCCQ			<20150401>:PureEY@OD: Unable to compute IRR	<EMPTY>					
F#CJ65QZ_BINTG_00001_I65346	3.590871086755490	-5926.571476813605800	-73.428523186394159	F#CJ66HD				<EMPTY>					
F#CJ65QZ_BINTG_00001_I65346	6.584287938280431	59.367879487955975	7440.632120512043900	F#CJ66MP				<EMPTY>					
Z(CJIRQB_BINTG_00001_I65346	3.500796639790073	-6118.044842264773300	118.044842264773250	Z(CJISDX				<EMPTY>					
Z(CJISFA_BINTG_00001_I65346	8.938139614239827	-1144.901506518945100	8644.901506518945100	Z2CNDQQ4				<EMPTY>					
Z(CJISYT_BINTG_00001_I65346	8.130877844558714	3198.373333835043000	4301.626666164957000	Z(CJITJV				<EMPTY>					
Z(CJISYT_BINTG_00001_I65346	5.176170382624418	-2575.514596845605400	-3424.485403154394600	Z(CJITOR				<EMPTY>					
U+CI3006_BINTG_00001_I65346	7.050326480797986	-35706.882745455703000	45706.882745455703000	U+CI33WL				<EMPTY>					
F#CJ65QZ_BINTG_00003_I65346	3.590862835853910	-1975.532936540871100	-24.467063459128894	F#CJ66HC				<EMPTY>					
F#CJ65QZ_BINTG_00003_I65346	6.584279568278160	19.780387437026945	2480.219612562973000	F#CJ66MO				<EMPTY>					
Z(CJIRQB_BINTG_00003_I65346	3.500802760163918	-2039.333844736710900	39.333844736710944	Z(CJISDW				<EMPTY>					
Z(CJISFA_BINTG_00003_I65346	8.938148804730846	-381.627699816104720	2881.627699816104700	Z2CNDQQ3				<EMPTY>					
Z(CJISYT_BINTG_00003_I65346	8.130877916205495	1066.124509197501500	1433.875490802498500	Z(CJITJU				<EMPTY>					
Z(CJISYT_BINTG_00003_I65346	5.176170321295379	-858.504883981351780	-1141.495116018648300	Z(CJITOQ				<EMPTY>					
F#CJ67F3_BINTG_00001_I65346	8.732470545389518	2631.013851734693200	4868.986148265306800	F#CJ67X9				<EMPTY>					
U+CI3019_BINTG_00001_I65346	5.520995386791924	-3550.271978377597400	-6449.728021622402600	U+CI33WZ				<EMPTY>					
F#CJ67F3_BINTG_00003_I65346	8.732470472943298	877.004594436073600	1622.995405563926400	F#CJ67XA				<EMPTY>					
U+CI302C_BINTG_00001_I65346	8.804773472934715	-1008.141341642345700	-4991.858658357654300	FCCIRIV6				<EMPTY>					
U+CI302C_BINTG_00003_I65346	8.804773473150608	-336.047112740139710	-1663.952887259860300	FCCIRIV7				<EMPTY>					
U+CI303F_BINTG_00001_I65346	11.245295902291573	754.669728711432980	6745.330271288567000	FCCIRJEY				<EMPTY>					
U+CI303F_BINTG_00003_I65346	11.216641998923791	245.436310638487160	2254.563689361512800	FCCIRJEZ				<EMPTY>					
U+CI304I_BINTG_00001_I65346	7.229118529016559	-1303.274444064984000	-4696.725555935016000	FCCIRJVT				<EMPTY>					
U+CI304I_BINTG_00003_I65346	7.229118529855338	-434.431475734385460	-1565.568524265614500	FCCIRJVU				<EMPTY>					
U+CI305L_BINTG_00001_I65346	6.913850852549072	10190.197555748076000	4809.802444251923600	FCCIRKHU				<EMPTY>					
